FECHA_CORTE;UUID;FACULTAD;ESPECIALIDAD;MODALIDAD;NIVEL_ACADEMICO;ANNIO_POSTULACION;DERPARTAMENTO;PROVINCIA;DISTRITO;DEPARTAMENTO_ORIGEN;PROVINCIA_ORIGEN;DISTRITO_ORIGEN;COLEGIO;SEXO;DISCAPACIDAD;ETNIA
20240626;aaa995be932f57548f54cbddd9997cff;FACULTAD DE CIENCIAS SOCIALES Y HUMANIDADES;SEP - Lengua Extranjera - Inglés;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;AYACUCHO       ;HUANCA SANCOS                           ;SANCOS                                                      ;LIMA           ;LIMA                                    ;CHORRILLOS                                                  ;;F;NINGUNA;MESTIZO
20240626;ea177a6d462dc39408325f95f607bbe3;FACULTAD DE CIENCIAS SOCIALES Y HUMANIDADES;SEP - Lengua Extranjera - Inglés;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;LIMA           ;LIMA                                    ;SAN JUAN DE LURIGANCHO                                      ;;F;NINGUNA;MESTIZO
20240626;879fccb8a5b90b00cbb3507077e7e83a;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Primaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;;M;NINGUNA;MESTIZO
20240626;00dcc9832aab868e76709061c90aaa4a;FACULTAD DE EDUCACIÓN INICIAL;SEP - Educación Inicial;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;JESUS MARIA                                                 ;LIMA           ;LIMA                                    ;SANTIAGO DE SURCO                                           ;;F;NINGUNA;MESTIZO
20240626;86e61dbee88f1f0461e55fd7c2fa9f7b;FACULTAD DE CIENCIAS EMPRESARIALES;P. Administración de Negocios Internacionales;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;COMAS                                                       ;LIMA           ;LIMA                                    ;PUENTE PIEDRA                                               ;3071 MANUEL GARCIA CERRON;F;NINGUNA;NEGRO/MORENO/ZAMBO/MULATO/PUEBLO AFROPERUANO O AFRODESCENDIENTE
20240626;fed49944daf28e7a002c2c63c0a9a076;FACULTAD DE EDUCACIÓN INICIAL;P.E.E. Educación Inicial - Niñez Temprana;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;Otra Institucion;F;NINGUNA;MESTIZO
20240626;415601133b812ac1596a2729b3cc5eaf;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Básica Alternativa;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LORETO         ;MAYNAS                                  ;IQUITOS                                                     ;LORETO         ;MAYNAS                                  ;IQUITOS                                                     ;;F;NINGUNA;MESTIZO
20240626;994331de234f73a411d326012e6c93e6;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Básica Alternativa;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;;F;NINGUNA;OTROS
20240626;7e25a33aef97a797ec2da6be7ff8fb94;FACULTAD DE CIENCIAS SOCIALES Y HUMANIDADES;P.E.E. Educación Artística - Artes Plásticas;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;VILLA MARIA DEL TRIUNFO                                     ;LIMA           ;LIMA                                    ;VILLA MARIA DEL TRIUNFO                                     ;TUPAC AMARU;M;NINGUNA;MESTIZO
20240626;f3946e6915b1adacd7264fa445b79c38;FACULTAD DE CIENCIAS;P.E.E. Matemática;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;CHACLACAYO                                                  ;LIMA           ;LIMA                                    ;ATE                                                         ;SAN FRANCISCO DE ASIS;M;NINGUNA;NO CUENTA CON INFORMACIÓN
